,0,1,2,3,4
0,-1.6055,-1.1837,-0.22101,-0.5393,-0.33798
1,-1.0725,-0.78842,-0.26313,-0.36997,0.23684
2,-0.66339,-0.63391,0.050519,-0.27627,0.43213
3,0.9179,0.42455,0.58372,0.70694,-0.75604
4,3.0114,2.2257,1.5806,1.3902,-1.2621
5,-0.64628,0.060467,1.3814,1.3662,0.24134
6,-2.1216,-1.0716,-0.19385,-0.19033,0.009753
7,2.0381,-0.98847,-1.819,-1.1564,-1.1697
8,4.6639,-1.0378,-1.4477,-0.93459,-2.4745
9,0.35999,-0.51547,-0.10244,-0.10573,2.0061
10,-3.8105,1.0298,0.33511,1.6124,2.498
11,-2.1446,2.3217,0.87216,0.68496,2.3899
12,2.9585,3.9713,-2.8355,-1.0793,-1.0792
13,3.929,3.9366,-5.9662,-1.102,-3.3875
14,-0.36491,1.524,0.96422,0.45177,0.25997
15,-3.5993,-0.85316,4.15,0.20957,1.6621
16,2.32,0.35404,3.7443,1.1931,4.0097
17,0.47061,-0.65334,2.0187,-0.24091,1.801
18,-1.5455,-1.6082,2.3722,-1.1651,-0.62432
19,-2.7441,-2.789,-0.078498,-1.346,-1.1494
20,-0.49772,-1.9621,-0.95831,-0.7715,1.6839
21,2.7191,0.84127,1.224,0.80459,3.9627
22,-1.2207,-1.4029,-0.41649,0.098641,-0.56234
23,-3.8839,-2.9374,0.086941,-0.77456,-4.5627
24,-1.6151,-2.16,-1.2591,-0.79625,-1.7809
25,2.2449,0.57262,-0.37583,-0.51078,-2.1849
26,-0.21466,-0.18228,-1.0065,-0.24772,-0.97391
27,-1.6922,0.45051,-0.012365,-0.29389,-0.73535
28,2.0016,1.7382,2.2131,0.010824,0.1036
29,4.3588,2.6533,-1.4899,-0.082904,-0.35729
30,3.1803,1.2772,-6.538,0.19474,-2.9717
31,1.955,-2.2045,-1.8538,0.16139,-2.9881
32,-2.6183,-3.5063,0.49002,0.21349,0.9825
33,-5.131,-1.8325,-0.70449,0.26848,2.431
34,-3.3093,-1.3041,-0.24136,0.47706,1.586
35,-1.4382,-0.52321,-0.35562,1.0895,0.089068
36,-1.4856,0.46185,-0.73898,0.099245,0.49538
37,-1.2227,0.78945,-0.49512,0.25473,0.44232
38,-0.69948,-0.71893,1.0825,0.25292,0.58276
39,-0.20036,-0.8951,0.81351,0.27199,0.54671
40,1.2813,0.22963,0.38253,0.3839,0.71384
41,1.6745,1.246,1.9566,0.22836,0.18882
42,-0.3339,0.051438,2.4519,0.29054,0.20759
43,-0.40089,-0.69125,0.31598,0.31488,0.21697
44,0.38798,-0.15077,-0.0035223,0.19072,0.13517
45,0.62238,0.33244,0.37534,0.27353,0.13311
46,0.45676,0.28301,0.31732,0.29455,0.41653
47,0.98453,0.38873,1.0425,0.79604,1.2183
48,3.7856,0.3216,2.2974,1.5516,1.8546
49,5.2003,0.013844,0.29343,0.46227,-1.2178
50,1.647,1.9462,-0.087765,1.4145,1.0442
51,2.4027,1.5446,-0.3878,-0.2221,-1.6549
52,-0.5945,0.42107,-0.42855,-0.89811,-1.2
53,-2.4804,0.67923,-0.078961,-1.1192,-0.25414
54,-1.607,2.0741,1.0816,-0.36139,0.045759
55,-1.2987,2.5234,0.90205,-0.0048526,-0.32718
56,-1.0769,0.8014,-0.43146,-0.46912,-0.53988
57,-0.79496,-0.39425,-1.0826,0.38587,-0.3115
58,-0.49161,-0.48804,-0.27203,-0.83035,0.23368
59,-0.45262,0.0038832,0.017697,-1.1617,1.5369
60,2.2899,0.7604,0.56605,-0.63143,0.98817
61,0.22865,0.22663,0.98969,-0.84763,-1.3728
62,-1.3643,-0.43366,-0.69287,-0.88307,-1.2393
63,-0.25475,0.16439,-0.99069,-0.84004,1.2196
64,0.80343,0.32166,-0.54701,-0.59017,1.0017
65,0.52171,0.26119,-0.45022,0.18855,-1.0329
66,2.6235,0.24335,-0.28119,0.99466,-1.2724
67,-0.75488,-0.57895,-0.94369,1.113,0.94412
68,-2.2576,-0.74626,-0.66827,-0.47797,-0.94937
69,-1.059,-0.49419,-0.33155,-0.33655,-1.5575
70,-0.32553,-0.47458,0.74203,2.1559,-0.57562
