,event_type,time_stamp,node
0,11,0,55
1,12,0,260
2,5,0,107
3,3,0,107
4,10,0,107
5,4,0,107
6,3,0,377
7,3,1,70
8,3,1,70
9,0,1,247
10,1,1,247
11,4,1,70
12,1,1,247
13,0,1,247
14,13,1,269
15,14,1,260
16,0,1,55
17,7,2,72
18,8,2,72
19,7,2,326
20,8,2,326
21,8,2,143
22,7,2,148
23,7,2,143
24,8,2,148
25,2,2,394
26,0,2,55
27,11,2,55
28,14,2,55
29,12,2,55
30,2,3,243
31,2,3,184
32,5,3,76
33,2,3,76
34,0,3,247
35,15,3,247
36,1,3,247
37,3,3,380
38,16,3,258
39,6,3,258
40,11,3,339
41,4,4,107
42,0,4,247
43,1,4,247
44,2,4,260
45,0,4,261
46,1,4,261
47,2,5,198
48,0,5,261
49,3,5,377
50,0,5,90
51,9,5,60
52,1,5,90
53,11,5,90
54,1,5,60
55,11,5,60
56,9,5,90
57,5,5,107
58,3,5,107
59,9,5,90
60,12,5,90
61,14,5,60
62,12,5,60
63,0,6,55
64,12,6,260
65,14,6,260
66,3,6,70
67,11,6,60
68,0,6,261
69,1,6,261
70,0,7,247
71,1,7,60
72,11,7,90
73,0,7,60
74,1,7,90
75,15,7,247
76,0,7,247
77,9,7,60
78,1,7,247
79,14,7,60
80,12,7,60
81,0,7,60
82,9,7,60
83,2,7,394
84,0,7,60
85,9,7,60
86,14,8,60
87,12,8,60
88,2,8,184
89,2,8,243
90,5,8,76
91,2,8,76
92,4,8,76
93,11,8,90
94,0,8,60
95,1,8,60
96,9,8,60
97,1,8,90
98,12,8,60
99,14,8,60
100,13,9,250
101,0,9,261
102,1,9,261
103,4,9,76
104,13,9,250
105,0,10,90
106,1,10,60
107,11,10,60
108,1,10,90
109,12,10,90
110,14,10,90
111,2,10,198
112,5,10,107
113,10,10,107
114,3,11,107
115,4,11,107
116,3,11,377
117,0,11,247
118,1,11,247
119,0,11,247
120,15,11,247
121,3,11,70
122,4,11,70
123,0,11,247
124,1,11,247
125,3,11,410
126,0,11,261
127,3,11,203
128,1,11,261
129,3,11,266
130,3,12,94
131,0,12,55
132,3,12,47
133,3,12,256
134,13,12,250
135,10,13,55
136,9,13,55
137,4,13,55
138,12,13,55
139,14,13,55
140,2,13,394
141,2,13,184
142,0,13,247
143,1,13,247
144,1,13,60
145,9,13,60
146,11,13,90
147,1,13,90
148,12,13,60
149,14,13,60
150,5,14,76
151,2,14,243
152,2,14,76
153,0,14,247
154,10,14,436
155,1,14,247
156,4,14,76
157,0,14,261
158,1,14,261
159,4,14,76
160,4,14,107
161,0,14,261
162,1,14,261
163,0,14,247
164,1,14,247
165,9,14,55
166,0,15,247
167,1,15,247
168,0,15,247
169,1,15,247
170,0,16,60
171,11,16,90
172,1,16,60
